Area_Code,name_2,COVID-19_Deaths_2020,COVID-19_Deaths_2021_2022, COVID-19_Deaths_Total
W06000001,Isle of Anglesey                                                                                    ,6,20,26
W06000002,Gwynedd                                                                                             ,21,26,47
W06000003,Conwy                                                                                               ,33,33,66
W06000004,Denbighshire                                                                                        ,52,33,85
W06000005,Flintshire                                                                                          ,45,47,92
W06000006,Wrexham                                                                                             ,45,96,141
W06000008,Ceredigion                                                                                          ,16,17,33
W06000009,Pembrokeshire                                                                                       ,16,19,35
W06000010,Carmarthenshire                                                                                     ,69,117,186
W06000011,Swansea                                                                                             ,146,69,215
W06000012,Neath Port Talbot                                                                                   ,107,39,146
W06000013,Bridgend                                                                                            ,63,81,144
W06000014,Vale of Glamorgan                                                                                   ,47,41,88
W06000015,Cardiff                                                                                             ,194,72,266
W06000016,Rhondda Cynon Taf                                                                                   ,181,45,226
W06000018,Caerphilly                                                                                          ,69,41,110
W06000019,Blaenau Gwent                                                                                       ,42,8,50
W06000020,Torfaen                                                                                             ,46,16,62
W06000021,Monmouthshire                                                                                       ,43,37,80
W06000022,Newport                                                                                             ,86,25,111
W06000023,Powys                                                                                               ,65,44,109
W06000024,Merthyr Tydfil                                                                                      ,45,4,49
