Country,Week ended,All deaths,Covid-19 Deaths,5 year average
Wales,8-Jan-21,216,93,161
Wales,15-Jan-21,249,122,194
Wales,22-Jan-21,262,153,186
Wales,29-Jan-21,206,113,181
Wales,5-Feb-21,199,88,168
Wales,12-Feb-21,118,38,172
Wales,19-Feb-21,141,37,154
Wales,26-Feb-21,142,27,156
Wales,5-Mar-21,135,20,155
Wales,12-Mar-21,115,9,166
Wales,19-Mar-21,117,12,151
Wales,26-Mar-21,112,9,145
Wales,2-Apr-21,80,2,141
Wales,9-Apr-21,99,3,139
Wales,16-Apr-21,99,1,140
Wales,23-Apr-21,99,1,135
Wales,30-Apr-21,88,2,132
Wales,7-May-21,104,3,129
Wales,14-May-21,106,1,126
Wales,21-May-21,93,1,127
Wales,28-May-21,112,1,127
Wales,4-Jun-21,68,0,107
Wales,11-Jun-21,118,0,129
Wales,18-Jun-21,115,0,120
Wales,25-Jun-21,97,0,114
Wales,2-Jul-21,99,1,107
Wales,9-Jul-21,98,0,111
Wales,16-Jul-21,97,0,116
Wales,23-Jul-21,105,2,105
Wales,30-Jul-21,133,2,108
Wales,6-Aug-21,140,5,105
Wales,13-Aug-21,114,1,112
Wales,20-Aug-21,102,2,116
Wales,27-Aug-21,115,2,120
Wales,3-Sep-21,109,4,105
Wales,10-Sep-21,113,13,119
Wales,17-Sep-21,131,8,115
Wales,24-Sep-21,139,18,118
Wales,1-Oct-21,126,9,123
Wales,8-Oct-21,146,16,124
Wales,15-Oct-21,129,11,138
Wales,22-Oct-21,124,7,131
Wales,29-Oct-21,124,8,137
Wales,5-Nov-21,150,11,128
Wales,12-Nov-21,125,3,137
Wales,19-Nov-21,130,4,142
Wales,26-Nov-21,135,3,138
Wales,3-Dec-21,107,2,140
Wales,10-Dec-21,127,1,144
Wales,17-Dec-21,144,3,149
Wales,24-Dec-21,142,5,154
Wales,31-Dec-21,117,2,115
